xmin,ymin,xmax,ymax,Object,label
881.0,102.0,1107.0,118.0,Hubert Stuken GmbH & Co. KG,seller_name
882.73,122.99,1067.29,139.43,Alte Todenmanner Str. 42,o
885.58,141.96,998.67,155.99,D-31737 Rinteln,o
884.67,157.2,998.37,169.7,P.O. Box 14 80,o
884.06,173.05,998.98,187.08,D-31724 Rinteln,o
885.58,194.09,1023.97,208.72,Tel. 0 57 51-702-0,o
886.56,210.08,1039.59,222.29,Fax 0 57 51-702-188,o
886.22,225.19,1002.31,240.43,www.stueken.de,o
658.45,281.33,898.64,309.77,Pro Forma Invoice /,o
659.72,314.19,901.48,342.58,Proforma-Rechnugn,o
218.0,358.0,483.0,375.0,Hubert Stuken GmbH & Co. KG P.O. o 14 80,seller_name
492.71,361.95,585.38,373.22,DE-31724 Rinteln,o
225.0,378.0,486.0,398.0,Mahle Behr Thermal Systems,buyer_name
816.0,388.0,921.0,408.0,29.01.2020,document_date
638.35,391.23,678.73,408.79,Date,o
225.0,398.0,400.0,421.0,"(Qingdao) Co., Ltd.",buyer_name
816.0,414.0,1011.0,434.0,137364 / 20.01.2020,o
638.35,417.79,725.7,437.1,Order No.,o
226.43,423.21,487.04,439.98,"Shangma, Chengyang District",o
818.62,443.55,886.22,462.87,300289,o
227.34,443.64,393.77,461.62,266112 QINGDAO,o
639.23,445.88,759.06,465.19,Customer No.,o
227.65,467.41,288.0,486.01,CHINA,o
819.5,471.21,887.53,488.32,312400,o
639.1,471.65,746.2,489.64,Supplier No.,o
639.23,497.45,774.86,517.21,Stuken Contact,o
819.76,498.2,940.47,515.76,Lars Baumann,o
821.99,523.15,998.97,544.64,+49 5751 702-414,o
639.26,525.05,696.15,544.01,Phone,o
823.82,549.07,995.81,568.03,+49 5751 702-188,o
639.26,552.23,704.99,571.19,Telefax,o
819.46,576.2,1041.95,597.73,lars.baumann@stueken.de,o
638.63,577.51,689.89,597.73,Email,o
441.0,694.0,662.0,717.0,20200044 / 19.01.2020,contract_no
227.92,697.33,412.22,718.57,Purchase Order NO.:,o
441.0,720.0,697.0,742.0,Mahle Behr Thermal Systems,buyer_name
230.95,721.64,330.31,742.88,Consignee:,o
441.0,743.0,611.0,763.0,"(Qingdao) Co., Ltd.",buyer_name
444.08,767.0,692.48,787.23,1482 Xiangyang Community,o
444.86,789.42,606.53,808.44,266112 QINGDAO,o
443.94,810.85,506.12,828.41,CHINA,o
441.0,832.0,621.0,855.0,Payment in advance,payment_terms
233.22,837.65,405.4,859.65,Terms of payment:,o
442.69,862.63,533.71,883.49,Seafreight,o
233.22,863.08,403.52,887.66,Terms of delivery :,o
444.59,889.18,551.4,910.67,FCA Rinteln,o
232.71,890.37,395.84,909.76,Terms of delivery:,o
447.11,914.46,548.88,934.05,02.03.2020,o
233.55,918.06,356.45,936.3,Delivery Date,o
227.76,1003.55,1027.25,1027.58,"We deliver per our general terms and conditions of sale, access under www.stueken.com.",o
983.0,1046.0,1121.0,1069.0,Amount in EUR,currency
856.32,1047.56,944.79,1069.41,Unit Price,o
622.9,1049.77,704.81,1073.43,Quantity,o
247.91,1050.68,289.78,1072.52,Item,o
313.44,1050.68,503.7,1071.61,Material / Description,o
781.22,1074.88,946.82,1098.9,"670,00 /1000 pcs",o
315.9,1076.19,504.76,1098.95,442446 / V138F o,o
639.01,1076.19,691.34,1096.67,7.800,o
1028.55,1076.39,1113.24,1094.72,"4.446,00",o
274.94,1078.47,299.21,1096.67,10,o
706.51,1082.26,742.92,1098.19,pcs,o
312.8,1102.5,350.73,1119.56,cap,o
316.59,1126.52,379.8,1144.85,Rev.02,o
314.7,1152.43,406.98,1171.39,kk773001,o
311.71,1224.61,359.95,1249.18,VAT,o
1072.85,1225.31,1116.09,1246.54,"0,00",o
683.06,1245.54,747.68,1269.21,"0,000",o
1032.0,1270.0,1116.0,1293.0,"4.446,00",amount
316.17,1272.85,438.13,1296.51,Final amount:,o
316.81,1323.45,835.6,1344.39,Split the overall quantity over the following delivery dates:,o
363.38,1349.92,437.71,1370.4,Quantity,o
471.84,1349.92,538.59,1372.68,Delivery,o
555.27,1349.92,598.51,1369.64,Date,o
697.35,1374.47,816.81,1395.33,late payment,o
348.45,1376.37,397.75,1394.07,7.800,o
472.97,1376.37,574.1,1395.96,02.03.2020,o
406.6,1380.16,436.31,1396.59,pcs,o
318.08,1423.39,960.3,1441.96,Our commitment to the delivery of the parts is subject to the receipt of,o
315.82,1447.99,895.29,1464.68,the pre-material in the requested quantity and on time. This would,o
316.3,1468.5,967.69,1491.8,exclude any wrong or delayed delivery of pre-material caused by Stuken.,o
624.52,1501.16,688.99,1523.92,Page 1,o
