xmin,ymin,xmax,ymax,Object,label
583,112,801,136,PO Box 3149,o
1392,114,1588,161,Invoice,o
432,148,545,200,CIL,o
583,150,976,182,"Canyon Lake, TX 78133",o
582,198,847,218,830-935-4430 Phone,o
119,212,548,238,INDUSTRIAL SERVICES INC.,o
1285,207,1338,228,Date,o
1449,206,1550,226,Invoice #,o
583,228,820,248,830-935-4048 FAX,o
260,268,547,285,SPECIALIZING IN SOLUTIONS,o
1255,270,1367,291,9/13/2019,date
1464,270,1534,291,12379,no
183,382,253,402,Bill To,o
944,381,1031,406,Ship To,o
157,433,333,457,Appleton Group,buyer
920,433,1096,458,Appleton Group,o
158,461,417,486,Attn: Accounts Payable,o
920,460,1245,481,13639 Aldine Westfield Road,o
157,489,370,514,9377 West Higgins,o
921,489,1135,513,"Houston, TX 77039",o
158,518,383,542,"Rosemont, IL 60018",o
158,546,410,566,Need to email invoices,o
162,670,349,690,Customer Phone,o
446,670,588,690,800-621-1506,o
177,707,334,727,Customer Fax,o
453,707,581,727,2817743755,o
483,756,629,778,P.O. Number,o
756,756,828,777,Terms,o
986,756,1036,782,Ship,o
1193,757,1229,778,Via,o
1420,756,1490,777,F.O.B.,o
470,820,639,841,240100319949,o
756,820,830,841,Net 30,o
956,820,1066,841,9/11/2019,o
1161,820,1261,840,delivered,o
166,882,258,907,Quantity,o
378,882,494,903,Item Code,o
787,882,911,906,Description,o
1201,882,1321,903,Price Each,o
1443,882,1530,903,Amount,o
289,933,315,953,10,o
333,932,521,953,Industrial Adhesi,o
556,933,917,954,Coremaster FD CM30 12/Carton,o
1290,932,1365,954,106.20,o
1478,933,1574,956,"1,062.00",o
302,961,313,981,1,o
332,960,513,986,Freight Cost Inc,o
557,961,637,986,Freight,o
1303,961,1366,981,66.00,o
1513,961,1575,981,66.00,o
106,1820,427,1845,Thank you for your business.,o
1083,1837,1185,1871,Total,o
1466,1857,1575,1880,"$1,128.00",amount
