xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
881.0,102.0,1107.0,118.0,Hubert Stuken GmbH & Co. KG,seller_name,Alte Todenmanner Str. 42,21.210000000000008,1,,0.0,-1,21.210000000000008,0.0
882.73,122.99,1067.29,139.43,Alte Todenmanner Str. 42,o,D-31737 Rinteln,17.765000000000015,2,,0.0,-1,17.765000000000015,0.0
885.58,141.96,998.67,155.99,D-31737 Rinteln,o,P.O. Box 14 80,14.474999999999966,3,,0.0,-1,14.474999999999966,0.0
884.67,157.2,998.37,169.7,P.O. Box 14 80,o,D-31724 Rinteln,16.61500000000001,4,,0.0,-1,16.61500000000001,0.0
884.06,173.05,998.98,187.08,D-31724 Rinteln,o,Tel. 0 57 51-702-0,21.340000000000003,5,,0.0,-1,21.340000000000003,0.0
885.58,194.09,1023.97,208.72,Tel. 0 57 51-702-0,o,Fax 0 57 51-702-188,14.780000000000001,6,,0.0,-1,14.780000000000001,0.0
886.56,210.08,1039.59,222.29,Fax 0 57 51-702-188,o,www.stueken.de,16.625,7,,0.0,-1,16.625,0.0
886.22,225.19,1002.31,240.43,www.stueken.de,o,Pro Forma Invoice /,62.73999999999995,8,,0.0,-1,62.73999999999995,0.0
658.45,281.33,898.64,309.77,Pro Forma Invoice /,o,Proforma-Rechnugn,32.835000000000036,9,,0.0,-1,32.835000000000036,0.0
659.72,314.19,901.48,342.58,Proforma-Rechnugn,o,29.01.2020,69.61500000000001,13,,0.0,-1,69.61500000000001,0.0
218.0,358.0,483.0,375.0,Hubert Stuken GmbH & Co. KG P.O. o 14 80,seller_name,Mahle Behr Thermal Systems,21.5,12,DE-31724 Rinteln,188.54499999999996,11,21.5,188.54499999999996
492.71,361.95,585.38,373.22,DE-31724 Rinteln,o,20200044 / 19.01.2020,337.91499999999996,33,,0.0,-1,0.0,0.0
225.0,378.0,486.0,398.0,Mahle Behr Thermal Systems,buyer_name,"(Qingdao) Co., Ltd.",21.5,15,Date,303.03999999999996,14,21.5,303.03999999999996
816.0,388.0,921.0,408.0,29.01.2020,document_date,137364 / 20.01.2020,26.0,16,,0.0,-1,26.0,0.0
638.35,391.23,678.73,408.79,Date,o,Order No.,27.43500000000006,17,29.01.2020,209.96000000000004,13,27.43500000000006,209.96000000000004
225.0,398.0,400.0,421.0,"(Qingdao) Co., Ltd.",buyer_name,"Shangma, Chengyang District",22.095000000000027,18,Date,346.03999999999996,14,22.095000000000027,0.0
