xmin,ymin,xmax,ymax,Object,label,below_object,below_dist,below_obj_index,side_object,side_length,side_obj_index,revised_distances_vert,revised_distances_hori
583,112,801,136,PO Box 3149,o,"Canyon Lake, TX 78133",42.0,3,Invoice,798.0,1,42.0,0.0
1392,114,1588,161,Invoice,o,Invoice #,78.5,7,,0.0,-1,78.5,0.0
432,148,545,200,CIL,o,INDUSTRIAL SERVICES INC.,51.0,5,830-935-4430 Phone,226.0,4,51.0,226.0
583,150,976,182,"Canyon Lake, TX 78133",o,830-935-4430 Phone,42.0,4,Invoice,710.5,1,42.0,710.5
582,198,847,218,830-935-4430 Phone,o,830-935-4048 FAX,30.0,8,Date,597.0,6,30.0,597.0
119,212,548,238,INDUSTRIAL SERVICES INC.,o,SPECIALIZING IN SOLUTIONS,51.5,9,830-935-4048 FAX,368.0,8,51.5,368.0
1285,207,1338,228,Date,o,9/13/2019,63.0,10,Invoice #,188.0,7,63.0,188.0
1449,206,1550,226,Invoice #,o,12379,64.5,11,,0.0,-1,64.5,0.0
583,228,820,248,830-935-4048 FAX,o,800-621-1506,442.0,23,,0.0,-1,442.0,0.0
260,268,547,285,SPECIALIZING IN SOLUTIONS,o,Appleton Group,168.5,14,9/13/2019,907.5,10,0.0,907.5
1255,270,1367,291,9/13/2019,date,delivered,549.5,34,12379,188.0,11,0.0,188.0
1464,270,1534,291,12379,no,F.O.B.,486.0,30,,0.0,-1,486.0,0.0
183,382,253,402,Bill To,o,Appleton Group,53.0,14,Ship To,769.5,13,53.0,769.5
944,381,1031,406,Ship To,o,Appleton Group,52.0,15,,0.0,-1,52.0,0.0
157,433,333,457,Appleton Group,buyer,Attn: Accounts Payable,28.5,16,Appleton Group,763.0,15,28.5,763.0
920,433,1096,458,Appleton Group,o,13639 Aldine Westfield Road,25.0,17,,0.0,-1,25.0,0.0
158,461,417,486,Attn: Accounts Payable,o,9377 West Higgins,28.0,18,13639 Aldine Westfield Road,795.0,17,28.0,795.0
920,460,1245,481,13639 Aldine Westfield Road,o,"Houston, TX 77039",30.5,19,,0.0,-1,30.5,0.0
157,489,370,514,9377 West Higgins,o,"Rosemont, IL 60018",28.5,20,"Houston, TX 77039",764.5,19,28.5,764.5
921,489,1135,513,"Houston, TX 77039",o,Ship,268.0,28,,0.0,-1,268.0,0.0
158,518,383,542,"Rosemont, IL 60018",o,Need to email invoices,26.0,21,,0.0,-1,26.0,0.0
158,546,410,566,Need to email invoices,o,Customer Phone,124.0,22,,0.0,-1,124.0,0.0
162,670,349,690,Customer Phone,o,Customer Fax,37.0,24,800-621-1506,261.5,23,37.0,261.5
446,670,588,690,800-621-1506,o,2817743755,37.0,25,,0.0,-1,37.0,0.0
177,707,334,727,Customer Fax,o,Quantity,177.5,35,2817743755,261.5,25,177.5,261.5
453,707,581,727,2817743755,o,P.O. Number,50.0,26,,0.0,-1,50.0,0.0
483,756,629,778,P.O. Number,o,240100319949,63.5,31,Terms,236.0,27,63.5,236.0
756,756,828,777,Terms,o,Net 30,64.0,32,Ship,219.0,28,64.0,219.0
986,756,1036,782,Ship,o,9/11/2019,61.5,33,Via,200.0,29,61.5,200.0
1193,757,1229,778,Via,o,delivered,62.5,34,F.O.B.,244.0,30,62.5,244.0
1420,756,1490,777,F.O.B.,o,Amount,126.0,39,,0.0,-1,126.0,0.0
470,820,639,841,240100319949,o,Item Code,62.0,36,Net 30,238.5,32,62.0,238.5
756,820,830,841,Net 30,o,Description,63.5,37,9/11/2019,218.0,33,63.5,218.0
956,820,1066,841,9/11/2019,o,,0.0,-1,delivered,200.0,34,0.0,200.0
1161,820,1261,840,delivered,o,Price Each,62.5,38,,0.0,-1,62.5,0.0
166,882,258,907,Quantity,o,Thank you for your business.,938.0,50,Item Code,224.0,36,0.0,224.0
378,882,494,903,Item Code,o,Industrial Adhesi,50.0,41,Description,413.0,37,50.0,413.0
787,882,911,906,Description,o,Coremaster FD CM30 12/Carton,49.5,42,Price Each,412.0,38,49.5,412.0
1201,882,1321,903,Price Each,o,106.20,50.5,43,Amount,225.5,39,50.5,225.5
1443,882,1530,903,Amount,o,"1,062.00",52.0,44,,0.0,-1,52.0,0.0
289,933,315,953,10,o,1,28.0,45,Industrial Adhesi,125.0,41,28.0,125.0
333,932,521,953,Industrial Adhesi,o,Freight Cost Inc,30.5,46,Coremaster FD CM30 12/Carton,309.5,42,30.5,309.5
556,933,917,954,Coremaster FD CM30 12/Carton,o,Freight,30.0,47,106.20,591.0,43,30.0,591.0
1290,932,1365,954,106.20,o,66.00,28.0,48,"1,062.00",198.5,44,28.0,198.5
1478,933,1574,956,"1,062.00",o,66.00,26.5,49,,0.0,-1,26.5,0.0
302,961,313,981,1,o,Thank you for your business.,861.5,50,Freight Cost Inc,115.0,46,0.0,115.0
332,960,513,986,Freight Cost Inc,o,Thank you for your business.,859.5,50,Freight,174.5,47,859.5,174.5
557,961,637,986,Freight,o,,0.0,-1,66.00,737.5,48,0.0,737.5
1303,961,1366,981,66.00,o,,0.0,-1,66.00,209.5,49,0.0,209.5
1513,961,1575,981,66.00,o,"$1,128.00",897.5,52,,0.0,-1,897.5,0.0
106,1820,427,1845,Thank you for your business.,o,,0.0,-1,Total,867.5,51,0.0,867.5
1083,1837,1185,1871,Total,o,,0.0,-1,"$1,128.00",386.5,52,0.0,386.5
1466,1857,1575,1880,"$1,128.00",amount,,0.0,-1,,0.0,-1,0.0,0.0
